id,installment,emp_length,annual_inc,dti,acc_now_delinq,delinq_amnt,delinq_2yrs,inq_last_6mths,salary_verified,delinq_before,interest_rate,credit_length,fico_score,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,home_ownership_OWN,home_ownership_RENT,default
60196456,586.41,2.0,240000.0,6.51,0,0,1,0,1.0,1.0,24.18094117647058,27,707.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
51927686,279.72,10.0,44000.0,26.7,0,0,1,1,1.0,1.0,25.87400000000002,29,662.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0
60055614,498.19,10.0,75000.0,38.26,0,0,0,0,0.0,0.0,49.084289276807986,32,662.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0
85652408,198.84,2.0,80000.0,14.33,0,0,0,3,1.0,0.0,31.949124423963127,29,687.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
40542351,398.52,10.0,115000.0,16.34,0,0,1,1,0.0,1.0,19.555999999999994,23,682.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
52229261,524.16,0.0,62000.0,26.83,0,0,0,0,1.0,1.0,56.271304347826074,0,677.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
55970432,802.29,10.0,140000.0,5.77,0,0,0,1,1.0,1.0,37.53542857142856,0,692.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
76794169,1269.73,10.0,91500.0,3.8,0,0,0,0,1.0,1.0,30.6008,28,677.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
48222697,354.3,8.0,450000.0,0.73,0,0,0,0,1.0,1.0,27.548000000000012,0,682.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
57206459,403.44,10.0,50000.0,26.98,0,0,0,0,1.0,0.0,37.536363636363646,20,697.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
61353086,700.44,10.0,90000.0,16.8,0,0,0,0,1.0,0.0,35.569032258064524,24,707.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
69698586,712.04,10.0,100000.0,24.24,0,0,1,1,1.0,1.0,22.063999999999993,35,677.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
69584106,307.56,0.0,138500.0,10.43,0,0,0,1,1.0,0.0,23.024,0,747.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0
85562634,476.79,6.0,94000.0,17.52,0,0,0,1,1.0,0.0,58.930000000000014,25,682.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
76305046,367.74,6.0,41000.0,13.73,0,0,0,0,0.0,0.0,10.321999999999996,0,742.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0
57354977,843.9,3.0,156000.0,15.59,0,0,0,3,1.0,0.0,44.668571428571425,25,707.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
49955357,1247.68,5.0,76800.0,14.82,0,0,0,2,1.0,0.0,28.33280000000001,0,757.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
69096730,275.75,10.0,97000.0,8.99,0,0,0,1,1.0,0.0,37.875,0,722.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
